,open,high,low,close,volume
2022-01-03,150.0,151.4934277756597,148.5065722243403,150.0,771762.0
2022-01-04,148.00893685000756,148.00893685000756,146.10957643696503,147.0592566434863,774656.0
2022-01-05,147.39818654691703,151.46676863309057,147.39818654691703,149.4324775900038,349977.0
2022-01-06,151.52090585038565,153.32399052213606,151.52090585038565,152.42244818626085,992626.0
2022-01-07,148.17971849750535,148.17971849750535,145.2923321633185,146.7360253304119,507580.0
2022-01-10,145.8738138967374,145.8738138967374,140.33990964863264,143.10686177268502,578272.0
2022-01-11,143.10686177268502,146.47868508999207,140.7548583117335,143.61677170086278,775861.0
2022-01-12,143.61677170086278,145.19025555376064,140.51787668242642,142.85406611809353,693996.0
2022-01-13,142.85406611809353,144.23197114360022,141.66592767155979,142.94894940758,255058.0
2022-01-14,142.7818448717702,142.7818448717702,138.56095983484613,140.67140235330817,372232.0
2022-01-17,141.1199312914122,145.50136831748645,141.1199312914122,143.31064980444933,425067.0
2022-01-18,144.21605961667947,147.1899945215188,144.21605961667947,145.70302706909914,952782.0
2022-01-19,145.70302706909914,148.12324814674372,143.95983220056243,146.0415401736531,743055.0
2022-01-20,148.89711427626503,150.144609386024,148.89711427626503,149.52086183114452,429701.0
2022-01-21,149.9668222554165,152.1861121531669,149.9668222554165,151.0764672042917,761250.0
2022-01-24,150.49433013149695,150.49433013149695,146.8073690200623,148.65084957577963,764659.0
2022-01-25,148.9086826567717,150.89337855832483,148.9086826567717,149.90103060754828,454799.0
2022-01-26,148.1803472978654,148.1803472978654,146.2212489650723,147.20079813146887,462826.0
2022-01-27,147.35327649712616,152.56613641823438,147.35327649712616,149.95970645768028,904864.0
2022-01-28,149.95970645768028,152.9330534122056,146.9868039181543,149.95992866517994,605637.0
2022-01-31,149.95992866517994,151.48459560823022,147.62739370513668,149.55599465668345,234564.0
2022-02-01,149.55599465668345,150.25401831836967,145.10731294946214,147.6806656339159,747804.0
2022-02-02,148.48120708719867,154.49379033605072,148.48120708719867,151.48749871162468,630611.0
2022-02-03,151.48749871162468,152.11829922440867,150.22396343245654,151.1711313284326,558040.0
2022-02-04,151.1711313284326,151.70774555856656,148.35546048150235,150.03160302003445,752593.0
2022-02-07,150.03160302003445,150.66095173239077,147.59453828859003,149.1277450104904,916377.0
2022-02-08,150.0779296551545,151.67140407818493,150.0779296551545,150.8746668666697,397392.0
2022-02-09,150.8746668666697,154.5805992116103,149.6863788337845,152.13348902269738,477370.0
2022-02-10,152.13348902269738,155.22785277951454,151.86808064112907,153.5479667103218,270545.0
2022-02-11,153.5479667103218,156.81596629100338,153.24737568004556,155.03167098552447,682364.0
2022-02-14,160.93989498445814,163.01670545621806,160.93989498445814,161.9783002203381,462442.0
2022-02-15,161.9366553634215,161.9366553634215,159.71889616356555,160.82777576349352,408126.0
2022-02-16,160.82777576349352,162.29790862220278,156.3976873664633,159.34779799433304,726870.0
2022-02-17,157.67202351693007,157.67202351693007,156.19234590872597,156.93218471282802,467341.0
2022-02-18,157.80778189070398,160.26509735506303,157.80778189070398,159.0364396228835,517931.0
2022-02-21,161.418766714726,164.2432165799034,161.418766714726,162.8309916473147,496045.0
2022-02-22,162.8309916473147,164.54884100940882,160.69690339841293,162.62287220391087,332684.0
2022-02-23,162.21540021235995,162.21540021235995,157.93084372594376,160.07312196915186,213226.0
2022-02-24,159.48718540807565,159.48718540807565,155.7383220508491,157.61275372946236,844510.0
2022-02-25,158.98228311649575,160.69120816430777,158.98228311649575,159.83674564040177,182551.0
2022-02-28,161.110102696603,163.6754798429438,161.110102696603,162.3927912697734,392390.0
2022-03-01,162.3927912697734,167.2061062030813,161.4553800607309,164.3307431319061,700740.0
2022-03-02,164.3307431319061,164.6253774660007,160.01502304658038,162.32020025629055,218165.0
2022-03-03,162.32020025629055,165.58721558207202,160.89038321647473,163.23879939927338,689965.0
2022-03-04,163.23879939927338,166.19533096322027,161.37246768853825,163.78389932587925,759759.0
2022-03-07,163.78389932587925,167.33506330951906,161.99774812597053,164.6664057177448,696618.0
2022-03-08,166.90224678323386,168.55596711869484,166.90224678323386,167.72910695096436,374529.0
2022-03-09,167.72910695096436,170.31327169201447,166.98557097811891,168.64942133506668,117789.0
2022-03-10,168.96430760201352,173.28778628844992,168.96430760201352,171.12604694523174,898616.0
2022-03-11,171.12604694523174,173.14393434525502,169.9139402579517,171.52893730160338,393892.0
2022-03-14,171.52893730160338,175.7204659270228,169.67206861427766,172.69626727065022,824505.0
2022-03-15,173.0135198755013,177.11746117343975,173.0135198755013,175.0654905244705,278028.0
2022-03-16,172.98133060412056,172.98133060412056,167.43323983132836,170.20728521772446,246169.0
2022-03-17,170.20728521772446,172.2767505185643,166.30676196626965,169.29175624241697,800336.0
2022-03-18,169.29175624241697,169.90177302842767,165.84704742723045,167.87441022782906,945758.0
